request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
ORD-079,L016,L038,Hawaiian Feast Pizza,3,2026-08-01T16:04,2026-08-01T16:44,DELIVERED
ORD-080,L017,L043,Chicken Chow Mein,2,2026-08-01T16:07,2026-08-01T16:37,PICKED_UP
ORD-081,L018,L041,Fruit & Yogurt Bowl,1,2026-08-01T16:10,2026-08-01T16:40,DELIVERED
ORD-082,L019,L033,Jollof Express,5,2026-08-01T16:13,2026-08-01T16:53,ASSIGNED
ORD-083,L020,L036,Chicken Wings Feast,4,2026-08-01T16:16,2026-08-01T16:51,NEW
ORD-084,L021,L042,Beef Rice Combo,3,2026-08-01T16:19,2026-08-01T16:54,DELIVERED
ORD-085,L022,L010,Cappuccino & Muffin,1,2026-08-01T16:22,2026-08-01T16:52,CANCELLED
ORD-086,L023,L037,Grilled Goat Meat,5,2026-08-01T16:25,2026-08-01T17:05,PREPARING
ORD-087,L024,L008,Local Rice Combo,3,2026-08-01T16:28,2026-08-01T17:03,PICKED_UP
ORD-088,L025,L040,Fried Yam Special,4,2026-08-01T16:31,2026-08-01T17:06,IN_TRANSIT
ORD-089,L026,L039,Banku & Tilapia Deluxe,5,2026-08-01T16:34,2026-08-01T17:14,ASSIGNED
ORD-090,L013,L027,Chicken Bucket XL,5,2026-08-01T16:37,2026-08-01T17:17,NEW
ORD-091,L014,L035,Seafood Supreme Pizza,4,2026-08-01T16:40,2026-08-01T17:20,PREPARING
ORD-092,L015,L009,Crispy Chicken Family Pack,4,2026-08-01T16:43,2026-08-01T17:18,DELIVERED
ORD-093,L016,L045,Pepperoni Deluxe,3,2026-08-01T16:46,2026-08-01T17:26,PICKED_UP
ORD-094,L017,L043,Vegetable Fried Rice,2,2026-08-01T16:49,2026-08-01T17:19,IN_TRANSIT
ORD-095,L018,L042,Protein Salad Bowl,2,2026-08-01T16:52,2026-08-01T17:22,DELIVERED
ORD-056,L019,L028,Jollof Supreme,5,2026-08-01T14:55,2026-08-01T15:30,PREPARING
ORD-057,L020,L044,Chicken Burger Deluxe,4,2026-08-01T14:58,2026-08-01T15:33,ASSIGNED
ORD-058,L021,L043,Special Fried Rice,3,2026-08-01T15:01,2026-08-01T15:36,DELIVERED
ORD-059,L022,L009,Espresso & Sandwich,2,2026-08-01T15:04,2026-08-01T15:34,NEW
ORD-060,L023,L045,Grilled Tilapia Combo,5,2026-08-01T15:07,2026-08-01T15:47,IN_TRANSIT
ORD-061,L024,L030,Plantain & Beans,2,2026-08-01T15:10,2026-08-01T15:40,PICKED_UP
ORD-062,L025,L040,Waakye Mega Pack,4,2026-08-01T15:13,2026-08-01T15:48,ASSIGNED
ORD-063,L026,L039,Banku & Pepper,3,2026-08-01T15:16,2026-08-01T15:51,DELIVERED
ORD-064,L013,L031,Chicken Fillet Meal,4,2026-08-01T15:19,2026-08-01T15:54,NEW
ORD-065,L014,L035,Cheese Lovers Pizza,5,2026-08-01T15:22,2026-08-01T16:02,PREPARING
ORD-066,L015,L010,Family Chicken Box,4,2026-08-01T15:25,2026-08-01T16:00,IN_TRANSIT
ORD-067,L016,L037,BBQ Beef Pizza,3,2026-08-01T15:28,2026-08-01T16:08,PICKED_UP
ORD-068,L017,L041,Shrimp Fried Rice,2,2026-08-01T15:31,2026-08-01T16:01,DELIVERED
ORD-069,L018,L042,Healthy Chicken Salad,2,2026-08-01T15:34,2026-08-01T16:04,NEW
ORD-070,L001,L009,Fried Rice Special,5,2026-08-01T15:37,2026-08-01T16:12,ASSIGNED
ORD-071,L002,L027,Hot Meal (Jollof XL),5,2026-08-01T15:40,2026-08-01T16:15,PREPARING
ORD-072,L003,L010,Banku & Okro Soup,4,2026-08-01T15:43,2026-08-01T16:23,IN_TRANSIT
ORD-073,L004,L035,Double Beef Burger,3,2026-08-01T15:46,2026-08-01T16:21,PICKED_UP
ORD-074,L005,L029,Waakye Family Combo,4,2026-08-01T15:49,2026-08-01T16:29,DELIVERED
ORD-075,L006,L032,Gobɛ Family Pack,5,2026-08-01T15:52,2026-08-01T16:27,NEW
ORD-076,L013,L028,Chicken Wrap Combo,3,2026-08-01T15:55,2026-08-01T16:30,ASSIGNED
ORD-077,L014,L044,Meat Lovers Pizza,5,2026-08-01T15:58,2026-08-01T16:38,PREPARING
ORD-078,L015,L009,Chicken Nuggets Bucket,4,2026-08-01T16:01,2026-08-01T16:36,IN_TRANSIT
ORD-079,L016,L038,Hawaiian Feast Pizza,3,2026-08-01T16:04,2026-08-01T16:44,DELIVERED
ORD-080,L017,L043,Chicken Chow Mein,2,2026-08-01T16:07,2026-08-01T16:37,PICKED_UP
ORD-081,L018,L041,Fruit & Yogurt Bowl,1,2026-08-01T16:10,2026-08-01T16:40,DELIVERED
ORD-082,L019,L033,Jollof Express,5,2026-08-01T16:13,2026-08-01T16:53,ASSIGNED
ORD-083,L020,L036,Chicken Wings Feast,4,2026-08-01T16:16,2026-08-01T16:51,NEW
ORD-084,L021,L042,Beef Rice Combo,3,2026-08-01T16:19,2026-08-01T16:54,DELIVERED
ORD-085,L022,L010,Cappuccino & Muffin,1,2026-08-01T16:22,2026-08-01T16:52,CANCELLED
ORD-086,L023,L037,Grilled Goat Meat,5,2026-08-01T16:25,2026-08-01T17:05,PREPARING
ORD-087,L024,L008,Local Rice Combo,3,2026-08-01T16:28,2026-08-01T17:03,PICKED_UP
ORD-088,L025,L040,Fried Yam Special,4,2026-08-01T16:31,2026-08-01T17:06,IN_TRANSIT
ORD-089,L026,L039,Banku & Tilapia Deluxe,5,2026-08-01T16:34,2026-08-01T17:14,ASSIGNED
ORD-090,L013,L027,Chicken Bucket XL,5,2026-08-01T16:37,2026-08-01T17:17,NEW
ORD-091,L014,L035,Seafood Supreme Pizza,4,2026-08-01T16:40,2026-08-01T17:20,PREPARING
ORD-092,L015,L009,Crispy Chicken Family Pack,4,2026-08-01T16:43,2026-08-01T17:18,DELIVERED
ORD-093,L016,L045,Pepperoni Deluxe,3,2026-08-01T16:46,2026-08-01T17:26,PICKED_UP
ORD-094,L017,L043,Vegetable Fried Rice,2,2026-08-01T16:49,2026-08-01T17:19,IN_TRANSIT
ORD-095,L018,L042,Protein Salad Bowl,2,2026-08-01T16:52,2026-08-01T17:22,DELIVERED
ORD-096,L019,L034,Family Jollof Combo,5,2026-08-01T16:55,2026-08-01T17:35,ASSIGNED
ORD-097,L020,L044,Chicken Wrap Deluxe,4,2026-08-01T16:58,2026-08-01T17:33,PREPARING
ORD-098,L021,L041,Special Fried Rice,3,2026-08-01T17:01,2026-08-01T17:36,DELIVERED
ORD-099,L022,L009,Latte & Sandwich Combo,2,2026-08-01T17:04,2026-08-01T17:34,NEW
ORD-100,L023,L037,Grilled Tilapia Supreme,5,2026-08-01T17:07,2026-08-01T17:47,IN_TRANSIT
ORD-101,L024,L030,Beans & Plantain Deluxe,3,2026-08-01T17:10,2026-08-01T17:45,PICKED_UP
ORD-102,L025,L040,Waakye Family Pack,4,2026-08-01T17:13,2026-08-01T17:48,ASSIGNED
ORD-103,L026,L039,Banku Combo,3,2026-08-01T17:16,2026-08-01T17:51,DELIVERED
ORD-104,L013,L032,Chicken Burger Supreme,5,2026-08-01T17:19,2026-08-01T17:54,PREPARING
ORD-105,L014,L035,Pepperoni Family Pizza,4,2026-08-01T17:22,2026-08-01T18:02,NEW
ORD-106,L015,L010,Crispy Chicken Deluxe,4,2026-08-01T17:25,2026-08-01T18:00,PICKED_UP
ORD-107,L016,L045,BBQ Beef Feast,3,2026-08-01T17:28,2026-08-01T18:08,IN_TRANSIT
ORD-108,L017,L043,Chicken Fried Noodles,2,2026-08-01T17:31,2026-08-01T18:01,DELIVERED
ORD-109,L018,L042,Fresh Caesar Salad,2,2026-08-01T17:34,2026-08-01T18:04,NEW
ORD-110,L001,L009,Fried Rice Combo XL,5,2026-08-01T17:37,2026-08-01T18:12,ASSIGNED
ORD-111,L002,L028,Hot Meal (Goat Jollof),5,2026-08-01T17:40,2026-08-01T18:15,PREPARING
ORD-112,L003,L010,Banku & Grilled Tilapia,5,2026-08-01T17:43,2026-08-01T18:23,IN_TRANSIT
ORD-113,L004,L036,Triple Burger Meal,4,2026-08-01T17:46,2026-08-01T18:21,PICKED_UP
ORD-114,L005,L029,Waakye Deluxe Combo,3,2026-08-01T17:49,2026-08-01T18:24,DELIVERED
ORD-115,L006,L033,Gobɛ Mega Bowl,5,2026-08-01T17:52,2026-08-01T18:27,NEW
ORD-116,L013,L027,Chicken Wings Combo,4,2026-08-01T17:55,2026-08-01T18:30,ASSIGNED
ORD-117,L014,L044,Seafood Pizza Feast,5,2026-08-01T17:58,2026-08-01T18:38,PREPARING
ORD-118,L015,L009,Chicken Nuggets Meal,3,2026-08-01T18:01,2026-08-01T18:36,DELIVERED
ORD-119,L016,L038,Hawaiian Pizza XL,4,2026-08-01T18:04,2026-08-01T18:44,PICKED_UP
ORD-120,L017,L041,Beef Chow Mein,3,2026-08-01T18:07,2026-08-01T18:42,IN_TRANSIT
ORD-121,L018,L042,Healthy Smoothie Bowl,1,2026-08-01T18:10,2026-08-01T18:40,DELIVERED
ORD-122,L019,L034,Special Jollof Deluxe,5,2026-08-01T18:13,2026-08-01T18:53,NEW
ORD-123,L020,L035,Chicken Wings Family Pack,4,2026-08-01T18:16,2026-08-01T18:51,ASSIGNED
ORD-124,L021,L043,Beef Fried Rice Special,3,2026-08-01T18:19,2026-08-01T18:54,PREPARING
ORD-125,L022,L010,Mocha & Donut Combo,1,2026-08-01T18:22,2026-08-01T18:52,DELIVERED
ORD-126,L023,L037,Grilled Goat Combo,5,2026-08-01T18:25,2026-08-01T19:05,PICKED_UP
ORD-127,L024,L008,Local Rice Deluxe,3,2026-08-01T18:28,2026-08-01T19:03,IN_TRANSIT
ORD-128,L025,L040,Fried Yam Mega Combo,4,2026-08-01T18:31,2026-08-01T19:06,ASSIGNED
ORD-129,L026,L039,Banku & Okro Deluxe,5,2026-08-01T18:34,2026-08-01T19:14,NEW
ORD-130,L013,L031,Chicken Bucket Family Pack,5,2026-08-01T18:37,2026-08-01T19:17,PREPARING
ORD-131,L014,L036,Seafood Lovers Pizza,4,2026-08-01T18:40,2026-08-01T19:20,DELIVERED
ORD-132,L015,L009,Crispy Chicken Family Combo,4,2026-08-01T18:43,2026-08-01T19:18,PICKED_UP
ORD-133,L016,L045,Beef Pepperoni Pizza,3,2026-08-01T18:46,2026-08-01T19:26,IN_TRANSIT
ORD-134,L017,L043,Vegetable Noodles Combo,2,2026-08-01T18:49,2026-08-01T19:19,CANCELLED
ORD-135,L018,L041,Protein Power Bowl,2,2026-08-01T18:52,2026-08-01T19:22,DELIVERED
ORD-136,L019,L028,Jollof Mega Pack,5,2026-08-01T18:55,2026-08-01T19:35,ASSIGNED
ORD-137,L020,L044,Chicken Shawarma,3,2026-08-01T18:58,2026-08-01T19:33,PREPARING
ORD-138,L021,L041,Seafood Fried Rice,4,2026-08-01T19:01,2026-08-01T19:36,PICKED_UP
ORD-139,L022,L010,Cappuccino Combo,2,2026-08-01T19:04,2026-08-01T19:34,DELIVERED
ORD-140,L023,L037,Grilled Tilapia Family Pack,5,2026-08-01T19:07,2026-08-01T19:47,IN_TRANSIT
ORD-141,L024,L030,Plantain & Kontomire,2,2026-08-01T19:10,2026-08-01T19:40,NEW
ORD-142,L025,L040,Waakye Family Feast,4,2026-08-01T19:13,2026-08-01T19:48,ASSIGNED
ORD-143,L026,L039,Banku & Okro Special,3,2026-08-01T19:16,2026-08-01T19:51,DELIVERED
ORD-144,L013,L032,Chicken Supreme Burger,5,2026-08-01T19:19,2026-08-01T19:54,PREPARING
ORD-145,L014,L035,Pepperoni Feast Pizza,4,2026-08-01T19:22,2026-08-01T20:02,IN_TRANSIT
ORD-146,L015,L009,Crispy Wings Combo,4,2026-08-01T19:25,2026-08-01T20:00,PICKED_UP
ORD-147,L016,L045,BBQ Chicken Feast,3,2026-08-01T19:28,2026-08-01T20:08,DELIVERED
ORD-148,L017,L043,Chicken Noodles Deluxe,2,2026-08-01T19:31,2026-08-01T20:01,NEW
ORD-149,L018,L042,Healthy Caesar Salad,1,2026-08-01T19:34,2026-08-01T20:04,DELIVERED
ORD-150,L001,L009,Special Fried Rice XL,5,2026-08-01T19:37,2026-08-01T20:12,ASSIGNED
ORD-151,L002,L027,Hot Meal (Chicken Jollof),5,2026-08-01T19:40,2026-08-01T20:15,PREPARING
ORD-152,L003,L010,Banku & Tilapia Deluxe,5,2026-08-01T19:43,2026-08-01T20:23,IN_TRANSIT
ORD-153,L004,L036,Triple Cheese Burger,4,2026-08-01T19:46,2026-08-01T20:21,PICKED_UP
ORD-154,L005,L029,Waakye Supreme Combo,3,2026-08-01T19:49,2026-08-01T20:24,DELIVERED
ORD-155,L006,L033,Gobɛ Family Deluxe,5,2026-08-01T19:52,2026-08-01T20:27,NEW
ORD-156,L013,L028,Chicken Wrap Family Meal,4,2026-08-01T19:55,2026-08-01T20:30,ASSIGNED
ORD-157,L014,L044,Meat Lovers Feast Pizza,5,2026-08-01T19:58,2026-08-01T20:38,PREPARING
ORD-158,L015,L009,Chicken Nuggets Deluxe,3,2026-08-01T20:01,2026-08-01T20:36,DELIVERED
ORD-159,L016,L038,Hawaiian Supreme Pizza,4,2026-08-01T20:04,2026-08-01T20:44,PICKED_UP
ORD-160,L017,L041,Beef Chow Mein Deluxe,3,2026-08-01T20:07,2026-08-01T20:42,IN_TRANSIT
ORD-161,L018,L042,Fruit Smoothie Bowl,1,2026-08-01T20:10,2026-08-01T20:40,DELIVERED
ORD-162,L019,L034,Special Jollof Feast,5,2026-08-01T20:13,2026-08-01T20:53,NEW
ORD-163,L020,L035,Chicken Wings Supreme,4,2026-08-01T20:16,2026-08-01T20:51,ASSIGNED
ORD-164,L021,L043,Beef Fried Rice Deluxe,3,2026-08-01T20:19,2026-08-01T20:54,PREPARING
ORD-165,L022,L010,Mocha & Croissant,2,2026-08-01T20:22,2026-08-01T20:52,CANCELLED
ORD-166,L023,L037,Grilled Goat Family Pack,5,2026-08-01T20:25,2026-08-01T21:05,PICKED_UP
ORD-167,L024,L008,Local Rice Supreme,3,2026-08-01T20:28,2026-08-01T21:03,IN_TRANSIT
ORD-168,L025,L040,Fried Yam Deluxe,4,2026-08-01T20:31,2026-08-01T21:06,ASSIGNED
ORD-169,L026,L039,Banku & Fish Combo,5,2026-08-01T20:34,2026-08-01T21:14,NEW
ORD-170,L013,L031,Chicken Bucket Feast,5,2026-08-01T20:37,2026-08-01T21:17,PREPARING
ORD-171,L014,L036,Seafood Supreme Feast Pizza,4,2026-08-01T20:40,2026-08-01T21:20,DELIVERED
ORD-172,L015,L009,Crispy Chicken Supreme Pack,4,2026-08-01T20:43,2026-08-01T21:18,PICKED_UP
ORD-173,L016,L045,Beef Pepperoni Feast Pizza,3,2026-08-01T20:46,2026-08-01T21:26,IN_TRANSIT
ORD-174,L017,L043,Vegetable Noodles Special,2,2026-08-01T20:49,2026-08-01T21:19,DELIVERED
ORD-175,L018,L041,Protein Deluxe Bowl,2,2026-08-01T20:52,2026-08-01T21:22,NEW
ORD-176,L019,L027,Jollof Party Pack,5,2026-08-01T20:55,2026-08-01T21:35,ASSIGNED
ORD-177,L020,L044,Chicken Shawarma Combo,3,2026-08-01T20:58,2026-08-01T21:33,PREPARING
ORD-178,L021,L041,Shrimp Fried Rice,4,2026-08-01T21:01,2026-08-01T21:36,PICKED_UP
ORD-179,L022,L010,Cappuccino & Doughnut,2,2026-08-01T21:04,2026-08-01T21:34,DELIVERED
ORD-180,L023,L037,Grilled Tilapia Deluxe,5,2026-08-01T21:07,2026-08-01T21:47,IN_TRANSIT
ORD-181,L024,L030,Beans Stew & Plantain,2,2026-08-01T21:10,2026-08-01T21:40,NEW
ORD-182,L025,L040,Waakye Supreme Feast,4,2026-08-01T21:13,2026-08-01T21:48,ASSIGNED
ORD-183,L026,L039,Banku & Okro Deluxe,3,2026-08-01T21:16,2026-08-01T21:51,DELIVERED
ORD-184,L013,L032,Chicken Burger Combo XL,5,2026-08-01T21:19,2026-08-01T21:54,PREPARING
ORD-185,L014,L035,Pepperoni Family Feast,4,2026-08-01T21:22,2026-08-01T22:02,IN_TRANSIT
ORD-186,L015,L009,Crispy Chicken Bucket,4,2026-08-01T21:25,2026-08-01T22:00,PICKED_UP
ORD-187,L016,L045,BBQ Chicken Deluxe,3,2026-08-01T21:28,2026-08-01T22:08,DELIVERED
ORD-188,L017,L043,Chicken Chow Mein Special,2,2026-08-01T21:31,2026-08-01T22:01,NEW
ORD-189,L018,L042,Fresh Garden Salad,1,2026-08-01T21:34,2026-08-01T22:04,DELIVERED
ORD-190,L001,L009,Fried Rice Family Combo,5,2026-08-01T21:37,2026-08-01T22:12,ASSIGNED
ORD-191,L002,L028,Hot Meal (Goat Light Soup),5,2026-08-01T21:40,2026-08-01T22:15,PREPARING
ORD-192,L003,L010,Fufu & Goat Light Soup,5,2026-08-01T21:43,2026-08-01T22:23,IN_TRANSIT
ORD-193,L004,L036,Beef Burger Combo XL,4,2026-08-01T21:46,2026-08-01T22:21,PICKED_UP
ORD-194,L005,L029,Waakye Mega Combo,3,2026-08-01T21:49,2026-08-01T22:24,DELIVERED
ORD-195,L006,L033,Gobɛ Special Family Pack,5,2026-08-01T21:52,2026-08-01T22:27,NEW
ORD-196,L013,L027,Chicken Wings Deluxe,4,2026-08-01T21:55,2026-08-01T22:30,ASSIGNED
ORD-197,L014,L044,Seafood Pizza Deluxe,5,2026-08-01T21:58,2026-08-01T22:38,PREPARING
ORD-198,L015,L009,Chicken Nuggets Family Meal,3,2026-08-01T22:01,2026-08-01T22:36,DELIVERED
ORD-199,L016,L038,Hawaiian Pizza Family Pack,4,2026-08-01T22:04,2026-08-01T22:44,PICKED_UP
ORD-200,L017,L041,Beef Chow Mein Special,3,2026-08-01T22:07,2026-08-01T22:42,IN_TRANSIT
ORD-201,L018,L042,Fruit Smoothie Deluxe,1,2026-08-01T22:10,2026-08-01T22:40,DELIVERED
ORD-202,L019,L034,Special Jollof Family Feast,5,2026-08-01T22:13,2026-08-01T22:53,NEW
ORD-203,L020,L035,Chicken Wings Mega Bucket,4,2026-08-01T22:16,2026-08-01T22:51,ASSIGNED
ORD-204,L021,L043,Beef Fried Rice Family Pack,3,2026-08-01T22:19,2026-08-01T22:54,PREPARING
ORD-205,L022,L010,Mocha & Chocolate Muffin,2,2026-08-01T22:22,2026-08-01T22:52,CANCELLED
ORD-206,L023,L037,Grilled Goat Deluxe,5,2026-08-01T22:25,2026-08-01T23:05,PICKED_UP
ORD-207,L024,L008,Local Rice Family Pack,3,2026-08-01T22:28,2026-08-01T23:03,IN_TRANSIT
ORD-208,L025,L040,Fried Yam & Chicken Deluxe,4,2026-08-01T22:31,2026-08-01T23:06,ASSIGNED
ORD-209,L026,L039,Banku & Fish Special,5,2026-08-01T22:34,2026-08-01T23:14,NEW
ORD-210,L013,L031,Chicken Bucket Supreme,5,2026-08-01T22:37,2026-08-01T23:17,PREPARING
ORD-211,L014,L036,Seafood Lovers Feast,4,2026-08-01T22:40,2026-08-01T23:20,DELIVERED
ORD-212,L015,L009,Crispy Chicken Supreme Combo,4,2026-08-01T22:43,2026-08-01T23:18,PICKED_UP
ORD-213,L016,L045,Beef Pepperoni Deluxe Pizza,3,2026-08-01T22:46,2026-08-01T23:26,IN_TRANSIT
